GEOID,median_household_income,median_home_value,total_population,poverty_rate,unemployment_rate,college_rate,renter_rate,uninsured_pct,diabetes_pct,physical_inactivity_pct,poor_mental_health_pct,obesity_pct
17031838700,21834,197800,3737,0.45143162964945144,0.12900274473924978,0.10830656264341441,0.7603833865814696,0.203,0.22399999999999998,0.46,0.25,0.511
17031150501,122434,338700,3854,0.04903995848469123,0.06032171581769437,0.48936170212765956,0.21657754010695188,0.086,0.092,0.179,0.128,0.263
17031150401,77908,320700,5146,0.10007773027594248,0.06925795053003533,0.44112769485903813,0.41776315789473684,0.12300000000000001,0.107,0.22699999999999998,0.15,0.293
17031150502,72500,362200,3953,0.07260308626359727,0.011965025310630465,0.3307475317348378,0.306640625,0.128,0.10300000000000001,0.223,0.149,0.292
17031110502,71440,288900,3533,0.10359467874327767,0.03804347826086957,0.46643247462919596,0.3208521626856036,0.1,0.091,0.19699999999999998,0.142,0.272
17031150402,97986,359600,3945,0.07680608365019011,0.03848003848003848,0.3236929922135706,0.3850148367952522,0.136,0.109,0.235,0.152,0.306
17031140302,62478,288200,3311,0.1318864774624374,0.04681069958847737,0.33772094772470856,0.6084656084656085,0.16,0.11699999999999999,0.261,0.146,0.28
17031140301,69712,389700,2908,0.20468642315644384,0.07176196032672112,0.26535750251762336,0.7281767955801105,0.261,0.14800000000000002,0.37,0.182,0.32299999999999995
17031700302,83086,244000,6003,0.12010661335998667,0.09258532757944292,0.16016533195556704,0.10138504155124654,0.21100000000000002,0.128,0.28600000000000003,0.159,0.33799999999999997
17031580501,45854,219700,4716,0.1288370082144401,0.127838519764508,0.13135313531353135,0.6060225846925973,0.253,0.126,0.31,0.154,0.321
17031580502,46853,195500,4932,0.2272911597729116,0.05040237187632359,0.14420485175202155,0.550773369199731,0.29100000000000004,0.152,0.361,0.166,0.354
17031730201,62083,194200,5671,0.0816616367832416,0.11920313520574788,0.18382710053423992,0.5374368396876436,0.095,0.17,0.28300000000000003,0.17,0.401
17031301802,33668,202500,2623,0.14944719786504004,0.071285140562249,0.1306532663316583,0.6007067137809188,0.34299999999999997,0.163,0.391,0.171,0.387
17031440101,28877,109400,3986,0.37836477987421385,0.1878704970360237,0.11103588354773189,0.9422110552763819,0.161,0.204,0.397,0.23,0.483
17031301701,52115,205100,4205,0.19120095124851366,0.06630911750365676,0.09301566579634465,0.4395448079658606,0.32899999999999996,0.147,0.355,0.16,0.358
17031804509,90174,233400,6440,0.15481706342866272,0.018037974683544303,0.1697965571205008,0.23768996960486322,0.239,0.131,0.314,0.16699999999999998,0.32
17031804511,68516,263500,2234,0.22739480752014324,0.029684601113172542,0.2660349854227405,0.5753052917232022,0.192,0.105,0.265,0.154,0.304
17031804609,110833,426700,5993,0.05806774570332054,0.06583886803349696,0.6149289099526066,0.3632305194805195,0.054000000000000006,0.09,0.165,0.114,0.213
